,id_cliente,valor_divida_mil,nome_completo,data_nascimento,idade,estado_civil,profissao,renda_mensal,razao_social,capital_social,faturamento_anual_mil,numero_funcionarios,ramo_atuacao_cliente,socios,tempo_inadimplencia_dias,email,telefone,endereco,possui_outras_dividas,possui_protestos,documento,tipo_pessoa,score_ranking_bruto,score_recuperacao
0,1003,166.82,Cecília Sampaio,1952-08-17,73.0,VIUVO,Técnico tributarista,3726.97,,,,,,,1211,marinacavalcanti@example.com,61 3737-2620,"Campo Castro, 23, Nascimento - TO",SIM,SIM,982.756.430-74,pf,-2.307633675071938,0.3375159836083762
1,1004,81.53,Antônio Aparecida,1952-04-18,73.0,SOLTEIRO,Atendente,2312.67,,,,,,,1300,liampacheco@example.net,+55 (051) 5008 2452,"Loteamento Yuri Novais, 21, Souza - AP",NAO,SIM,536.148.907-75,pf,1.1314461084814562,0.5439908709433819
2,1005,93.85,Cauê Porto,1967-07-20,58.0,CASADO,Vistoriador de sinistros,2512.89,,,,,,,1073,ana51@example.net,+55 (071) 9397 2379,"Aeroporto Julia Sá, 8, Farias - MA",NAO,SIM,350.268.974-10,pf,4.7234343394020595,0.7436546651938194
3,1008,9.61,Ana Julia Mendes,1986-08-11,39.0,SOLTEIRO,Avalista,1204.87,,,,,,,45,rhavi29@example.net,84 7042-3153,"Travessa Aylla Castro, Duarte - AC",SIM,NAO,340.251.798-14,pf,1.7104935525004024,0.5792442508630384
4,1009,3302.54,Heloisa Nunes,1981-12-05,43.0,DIVORCIADO,Editor de mesa de corte,1441.17,,,,,,,43,maya71@example.com,+55 41 7103 4703,"Ladeira Barbosa, 26, Lima - BA",SIM,SIM,932.845.607-00,pf,-5.922140503634912,0.17241804329260765
5,1010,142.36,Benício Melo,1987-12-06,37.0,VIUVO,Lutador de karatê,2155.34,,,,,,,922,yan06@example.net,(061) 4435 9136,"Chácara Sophie da Mata, 541, Lopes de Castro - BA",SIM,SIM,129.064.583-33,pf,-0.3570612549794987,0.452189965602749
6,1014,2042.79,Diogo Farias,1985-11-26,39.0,DIVORCIADO,Gandula,4951.02,,,,,,,462,costelaraul@example.com,+55 41 3703-5577,"Colônia Câmara, 49, Campos - PE",NAO,SIM,629.543.107-07,pf,0.6224198257360318,0.5126198828375649
7,1015,4946.4,Murilo da Rocha,1991-11-06,33.0,SOLTEIRO,Militar da Aeronáutica,6527.98,,,,,,,983,aylacamargo@example.com,+55 84 4121 1154,"Estação Sales, 99, Fogaça - RS",SIM,SIM,035.186.492-05,pf,-13.888081732775404,0.02821442620756817
8,1017,60.8,Ana Julia Pimenta,1970-08-25,55.0,SOLTEIRO,Odontopediatra,6086.38,,,,,,,1634,icorreia@example.net,11 5745 8203,"Feira João Vitor Sampaio, Câmara de Minas - BA",SIM,SIM,971.803.526-59,pf,-3.886751422783931,0.25634638647847185
9,1018,74.15,Oliver Barros,1948-06-06,77.0,CASADO,Escritor,3504.63,,,,,,,1714,yrocha@example.com,(031) 4189-8776,"Praça Sá, 78, Aragão - PR",NAO,NAO,462.081.379-69,pf,2.23135805713101,0.6102896268141768
10,1021,342.09,Bernardo Sales,1964-12-02,60.0,VIUVO,Contador,4947.41,,,,,,,1639,heitor69@example.com,0900 778 0873,"Vila Isabel Costa, 2, Pastor - PA",NAO,NAO,654.718.290-85,pf,0.7336918134995005,0.5194946453985823
11,1023,1265.32,Isis Viana,1987-11-26,37.0,SOLTEIRO,Alergologista,1361.13,,,,,,,1872,znunes@example.com,(041) 2659 9504,"Avenida de Pastor, Sampaio da Serra - SC",SIM,SIM,528.947.061-11,pf,-7.275148440580461,0.1297342604450205
12,1025,688.4,Melissa Vieira,1962-04-25,63.0,VIUVO,Gandula,3542.35,,,,,,,1498,gcamara@example.org,+55 (011) 2441 2932,"Loteamento Campos, 2, Aparecida de Minas - SC",SIM,NAO,560.137.892-40,pf,-4.297907456528494,0.23744063109879626
13,1029,1500.91,Manuela Fernandes,2004-10-23,20.0,DIVORCIADO,Educador,1708.73,,,,,,,1199,azevedoclara@example.net,+55 (084) 4272 5527,"Quadra Davi Lucca Cirino, 692, Mendonça - MT",SIM,NAO,136.872.495-73,pf,-4.295020736165924,0.23756996182043108
14,1032,29.03,Daniel Silva,2004-07-06,21.0,VIUVO,Cabo,3834.1,,,,,,,1117,zfreitas@example.org,0500-475-9451,"Sítio Allana Dias, 2, Casa Grande - BA",SIM,NAO,945.867.213-91,pf,-0.24911319938368992,0.45881337510803294
15,1036,547.61,Elisa Rezende,1994-06-02,31.0,SOLTEIRO,Pizzaiolo,2495.41,,,,,,,309,moraesmiguel@example.com,+55 11 9709-5637,"Viela Catarina Casa Grande, 4, Borges - MS",NAO,SIM,584.192.067-76,pf,4.196532583978433,0.7180277640956415
16,1038,1309.06,Sra. Natália Pires,1988-10-05,36.0,SOLTEIRO,Embalsamador,3245.54,,,,,,,783,gfarias@example.org,(084) 9092 6828,"Morro de Almeida, 87, Guerra - TO",NAO,NAO,261.573.809-77,pf,0.5876108395845576,0.5104681615905546
17,1039,344.11,Pedro Henrique Carvalho,2007-04-12,18.0,VIUVO,Piloto de avião,3916.0,,,,,,,101,heitor03@example.com,+55 61 5947 9772,"Vila Pires, 3, Martins da Praia - PR",NAO,SIM,615.329.847-82,pf,6.733474571958722,0.826686081573912
18,1041,191.57,Natália Nogueira,1960-01-05,65.0,DIVORCIADO,Estatístico,8062.07,,,,,,,1448,ana-vitoriavargas@example.org,(061) 0142 0537,"Trevo Costa, 70, Campos - TO",NAO,SIM,451.968.032-89,pf,1.5935945752790361,0.572180173274349
19,1043,143.22,Dante Martins,1956-12-30,68.0,VIUVO,Instalador de painéis,2267.38,,,,,,,618,thales52@example.net,+55 (081) 1889-5435,"Esplanada de Cardoso, 97, Casa Grande - PA",SIM,NAO,273.198.460-04,pf,-0.23336049183263996,0.45978119459423217
20,1044,212.46,Oliver Pacheco,1957-01-13,68.0,DIVORCIADO,Ortopedista,25597.67,,,,,,,760,pastortheo@example.org,+55 51 5572 5388,"Chácara Marques, 7, Cirino - RR",SIM,SIM,158.096.427-30,pf,-0.8624825396336981,0.42144026895180653
21,1045,29.22,Davi Miguel Sampaio,1948-03-27,77.0,CASADO,Caldeireiro,3653.39,,,,,,,1875,joao-felipedas-neves@example.net,(081) 2651-5804,"Rua Lima, 70, Aparecida de Minas - RO",NAO,NAO,287.436.915-28,pf,1.8378390214490867,0.5869027459953015
22,1047,85.97,Brenda Cardoso,1973-06-15,52.0,DIVORCIADO,Marechal,13746.09,,,,,,,1378,luisa32@example.org,0500-196-1246,"Área Arthur Gabriel Sampaio, 36, Mendes - RS",NAO,SIM,483.129.567-19,pf,2.4398339564666247,0.6224840593241157
23,1048,412.93,Dr. João Guilherme Peixoto,1967-04-26,58.0,CASADO,Impressor,7638.18,,,,,,,1366,theofogaca@example.org,+55 71 5177-3813,"Trecho de Teixeira, 21, Cunha - PR",SIM,SIM,039.217.654-80,pf,-1.531194288452837,0.38170960123490255
24,1049,617.25,Ana Vitória Duarte,1980-01-23,45.0,CASADO,Boticário,6036.88,,,,,,,987,caldeirahadassa@example.net,+55 (041) 3675 7233,"Trevo Aragão, 54, Leão - RS",NAO,SIM,871.205.943-97,pf,3.990800962411778,0.7076097018359021
25,1050,381.99,Liz Castro,2001-07-23,24.0,SOLTEIRO,Remador,6259.96,,,,,,,797,novaisnicole@example.net,0500-887-7882,"Núcleo Barros, 67, Vasconcelos das Pedras - RR",SIM,NAO,587.390.164-39,pf,-1.231012001684878,0.39938332928641945
26,1052,287.82,Raquel Martins,1966-08-19,59.0,SOLTEIRO,Odontologista legal,13145.89,,,,,,,591,paraujo@example.net,0800-074-4815,"Condomínio Otto da Conceição, Moraes Grande - DF",SIM,SIM,892.643.017-04,pf,-1.2794899207326522,0.39650997485842404
27,1053,181.37,Luana Ribeiro,1992-10-27,32.0,VIUVO,Empresário,1394.18,,,,,,,1686,portoanthony@example.net,+55 (071) 1385 3176,"Recanto Cassiano, 2, Rezende dos Dourados - SE",NAO,SIM,427.930.185-97,pf,1.7571195692139647,0.5820529509047304
28,1054,101.29,Manuella Sousa,1996-10-30,28.0,DIVORCIADO,Brigadeiro,6824.77,,,,,,,1156,guilhermepimenta@example.com,+55 (011) 0813 1545,"Núcleo de Sousa, 880, Aragão - GO",NAO,SIM,367.209.584-29,pf,3.751184983380366,0.6951957904331522
29,1055,902.58,Benjamin Machado,1949-08-31,76.0,DIVORCIADO,Cabo,1052.25,,,,,,,1205,eduardocirino@example.com,(051) 2752 4887,"Pátio Elisa Lima, 68, Marques - SP",SIM,NAO,230.194.875-79,pf,-4.275751446437268,0.23843450547231235
30,1056,97.59,Felipe Borges,1965-02-13,60.0,VIUVO,Chaveiro,8470.9,,,,,,,1531,maria-ceciliasilva@example.org,+55 (084) 2336 8858,"Pátio Camargo, 90, Ramos das Flores - RN",SIM,NAO,287.415.603-53,pf,-2.790825475833248,0.311327228965748
31,1059,550.55,Luiz Miguel Silveira,1986-04-09,39.0,VIUVO,Engenheiro de som,947.04,,,,,,,1876,leonardo52@example.org,0300-691-2789,"Largo Nascimento, 56, Peixoto - PI",NAO,NAO,921.045.768-49,pf,0.009941192560102508,0.4747633428977696
32,1063,330.3,Mariana Cavalcanti,1972-02-16,53.0,SOLTEIRO,Telegrafista,2455.42,,,,,,,283,jesusbernardo@example.com,+55 41 3142-9610,"Trecho Machado, 14, Machado - AC",NAO,SIM,185.764.329-19,pf,4.247935140745357,0.7205952666586407
33,1065,66.03,Antonella da Luz,1976-01-16,49.0,DIVORCIADO,Babá,1775.41,,,,,,,655,fariaszoe@example.com,71 7359 5246,"Área Luiz Henrique Andrade, 708, Castro - CE",NAO,NAO,863.975.021-12,pf,4.8623675158854205,0.7501518501438754
34,1066,125.61,Dra. Caroline Teixeira,1958-07-27,67.0,CASADO,Engraxate,6700.6,,,,,,,699,lucascassiano@example.org,21 5969 5567,"Rodovia Ana Júlia Campos, 30, Porto da Praia - AL",SIM,NAO,165.970.823-03,pf,1.0827153249495973,0.540998740467616
35,1067,75.89,Maria Luísa Sá,1961-06-28,64.0,VIUVO,Presidente da República,1701.73,,,,,,,1037,milena43@example.com,84 4602-7545,"Morro de Alves, 49, Novaes - SE",SIM,NAO,872.561.394-46,pf,-1.2779981827105509,0.3965982869596591
36,1072,272.31,Luara Ribeiro,2002-03-08,23.0,VIUVO,Co-piloto,2926.57,,,,,,,1904,hcamargo@example.org,11 1540 7463,"Área de Macedo, Costa do Amparo - SE",NAO,SIM,125.769.048-58,pf,1.0740431777764614,0.5404659435917408
37,1073,12.02,Cauã Fernandes,1987-09-26,37.0,SOLTEIRO,Fresador,1301.23,,,,,,,611,barrosvinicius@example.net,+55 61 0772 3112,"Avenida Peixoto, 7, Cirino do Amparo - AC",NAO,NAO,958.231.470-23,pf,4.465608942659587,0.7313076423585756
38,1074,149.24,Srta. Ana Júlia Novais,1945-02-05,80.0,SOLTEIRO,Engenheiro de processos,7282.14,,,,,,,855,novaesagatha@example.org,61 0187-9626,"Rodovia Henry Gabriel Pacheco, 60, Almeida de Peixoto - AL",NAO,SIM,460.283.951-70,pf,2.1764562123822517,0.6070544641334037
39,1075,430.99,Isabela Jesus,1975-11-01,49.0,SOLTEIRO,Bombeiro,1578.65,,,,,,,588,da-conceicaoluiz-otavio@example.net,+55 (081) 7928 7164,"Estrada de Pastor, Viana Paulista - BA",NAO,NAO,379.480.162-87,pf,3.1290693374591214,0.6616413067211352
