id_cliente,valor_divida_mil,nome_completo,data_nascimento,idade,estado_civil,profissao,renda_mensal,razao_social,capital_social,faturamento_anual_mil,numero_funcionarios,ramo_atuacao_cliente,socios,tempo_inadimplencia_dias,email,telefone,endereco,possui_outras_dividas,possui_protestos,documento
1000,43.39,Brayan Cirino,1992-08-23,33.0,CASADO,Tecnólogo em produção de bebidas,9818.39,,,,,,,346,amoreira@example.net,0500 594 0921,"Lago João Lucas da Conceição, 8, Mendonça - RJ",SIM,SIM,835.729.410-32
1001,178.74,,,,,,,Andrade Macedo e Filhos,2791837.12,327.88698999999997,244.0,TECNOLOGIA,"Isabela Costela, Luigi Fogaça, Isaac Azevedo",1824,liam88@example.net,+55 (071) 7322 5746,"Chácara de Cardoso, 60, Nunes - PI",NAO,SIM,39.078.426/0001-01
1002,7.11,,,,,,,Araújo S.A.,2430378.8,97.68731,264.0,INDUSTRIA,Luiz Felipe Caldeira,1332,clarice03@example.org,+55 (011) 5669-3675,"Recanto Machado, da Luz das Flores - MS",NAO,SIM,68.021.573/0001-35
1003,236.92,,,,,,,Mendonça Ltda.,4280348.01,57.499300000000005,442.0,VAREJO,"Gael da Mata, Sofia da Rocha",412,isaaccasa-grande@example.net,+55 (071) 9610-3392,"Colônia Luísa Porto, 70, Macedo de Cavalcante - RJ",NAO,NAO,30.891.672/0001-03
1004,525.2,,,,,,,Moreira - ME,2048824.42,9.83114,315.0,VAREJO,"Rebeca Barbosa, Kamilly Cunha",587,nicolenunes@example.net,(061) 3058-5973,"Residencial Lima, 15, Cavalcanti - TO",NAO,SIM,06.918.742/0001-87
1005,57.01,,,,,,,Ribeiro e Filhos,4220129.55,676.09775,151.0,AGRONEGOCIO,Bella Oliveira,1093,theolopes@example.com,0900-299-8250,"Fazenda Hellena Peixoto, 93, da Mata de Pinto - AP",SIM,NAO,06.947.138/0001-89
1006,312.94,,,,,,,Cassiano,3188694.34,147.73009,134.0,TECNOLOGIA,"Maya Viana, Isaac Sampaio",70,fogacagiovanna@example.net,+55 11 1955 5686,"Quadra de Fonseca, 13, Nunes do Amparo - PR",SIM,NAO,94.381.652/0001-67
1007,208.15,,,,,,,Sales,1458149.25,288.15568,128.0,INDUSTRIA,"Liz Macedo, Ísis Araújo, Caroline Albuquerque",582,acostela@example.net,+55 31 6007 5615,"Viaduto de Peixoto, 43, Cirino - PB",NAO,SIM,31.082.594/0001-50
1008,159.63,,,,,,,Andrade,4376521.53,124.11671000000001,78.0,AGRONEGOCIO,"Ian Cavalcante, Sr. Theo Pereira",1986,da-luzana@example.net,71 1165 9996,"Fazenda Luigi Fernandes, 59, Monteiro - DF",SIM,SIM,73.096.451/0001-48
1009,34.01,,,,,,,Costa,2566042.98,252.10745,289.0,TECNOLOGIA,Letícia Casa Grande,1912,noahrodrigues@example.net,+55 (041) 7108 1714,"Lago de Sá, 67, Araújo de Minas - ES",NAO,SIM,59.438.716/0001-18
1010,128.65,Camila Nascimento,1986-02-25,39.0,SOLTEIRO,Geógrafo,4609.15,,,,,,,497,lucas00@example.com,+55 (071) 5229 4649,"Pátio de da Conceição, 95, Santos das Pedras - BA",NAO,NAO,169.384.702-78
1011,180.55,,,,,,,Vasconcelos Pereira S/A,291778.83,20.61758,456.0,TECNOLOGIA,Esther Fernandes,1588,srios@example.net,61 6064 4648,"Loteamento João Miguel Monteiro, 783, da Rosa - SE",NAO,SIM,32.047.589/0001-70
1012,206.19,,,,,,,Garcia - ME,217146.33,258.11433,227.0,VAREJO,Sra. Maria Helena Rezende,1175,gomestheo@example.com,0500 596 6190,"Setor de Camargo, da Costa - AC",SIM,NAO,30.257.914/0001-01
1013,29.35,,,,,,,Castro,1079450.25,73.00352000000001,492.0,INDUSTRIA,"José Pedro Fonseca, Emanuella Araújo",888,macedohenry@example.net,84 2557-1909,"Aeroporto Azevedo, 48, Souza da Praia - CE",SIM,NAO,29.143.867/0001-88
1014,100.01,,,,,,,Nascimento Vieira S/A,1564164.74,16.19749,111.0,TECNOLOGIA,Lara da Rocha,1688,davi-lucca57@example.net,+55 (041) 1856 0827,"Lagoa da Cruz, 9, Sá de Minas - AL",NAO,SIM,87.549.132/0001-55
1015,175.87,Felipe Aparecida,2002-12-03,22.0,DIVORCIADO,Fotógrafo,1853.91,,,,,,,342,ffogaca@example.org,51 0391 3949,"Setor Eloá Dias, 8, Sales - AM",NAO,SIM,189.752.064-67
1016,12.74,,,,,,,das Neves Duarte e Filhos,2713369.68,547.5002099999999,24.0,TECNOLOGIA,"Lucas Gabriel Martins, Davi Lucca Leão, Sr. Samuel Câmara",1459,stella19@example.com,+55 84 4240-1147,"Alameda de Pereira, 49, Pastor de Sá - MA",SIM,NAO,75.649.031/0001-77
1017,43.38,Vitor Souza,1988-06-21,37.0,VIUVO,Fundidor de placa de gesso,984.84,,,,,,,102,yasmingoncalves@example.com,+55 (021) 9423 4988,"Área Cassiano, 22, Freitas de Cardoso - DF",SIM,SIM,853.496.207-38
1018,736.37,,,,,,,Cassiano Ltda.,3135942.16,353.27736,239.0,TECNOLOGIA,"Vitor Gabriel Barbosa, Maria Luísa Rezende",1159,araujoasafe@example.com,(061) 8998-7617,"Lago Arthur Camargo, 86, Moura das Pedras - TO",NAO,SIM,47.529.068/0001-26
1019,61.25,Dante Farias,1947-05-08,78.0,VIUVO,Estofador,3637.69,,,,,,,1415,ribeirojoao-lucas@example.org,0500-705-4896,"Travessa da Mata, 35, Costa - AM",NAO,SIM,610.928.743-13
1020,194.82,,,,,,,Pacheco,3937192.16,260.72745000000003,426.0,SERVICOS,"Léo Sales, Pedro Henrique da Rosa",1939,riosalexandre@example.net,+55 (041) 4669-2396,"Ladeira de Peixoto, 90, Lopes - ES",SIM,SIM,90.463.782/0001-98
1021,1631.84,Otávio Oliveira,2001-02-22,24.0,SOLTEIRO,Cartazeiro,18495.12,,,,,,,1370,sabrina00@example.com,+55 61 7855 8809,"Sítio Theodoro Pimenta, 340, Vargas - AP",SIM,NAO,058.364.927-00
1022,444.4,,,,,,,Farias S.A.,3090980.0,69.32303,448.0,INDUSTRIA,"Luna Fogaça, Danilo Sales",85,andradeaurora@example.org,+55 21 7137 6979,"Viela Rodrigo Sales, 78, Cardoso do Sul - PA",SIM,SIM,89.573.104/0001-07
1023,117.95,,,,,,,da Conceição Farias S/A,703725.5,10.07008,56.0,VAREJO,Maria Moraes,414,yalmeida@example.net,(084) 7674-8987,"Campo Yan Sampaio, 82, Moura Grande - SP",SIM,SIM,91.534.672/0001-32
1024,2557.28,,,,,,,Melo,2695425.68,98.97505,145.0,SERVICOS,"Juan Rezende, Lunna Moura",1123,valentina35@example.com,(041) 6349-1211,"Via Maria Clara Câmara, 34, Almeida de Vargas - RR",NAO,NAO,75.809.146/0001-81
1025,67.05,,,,,,,Almeida,2228312.72,16.08422,276.0,INDUSTRIA,Maria Helena Rios,690,garciaemilly@example.org,+55 (041) 8410-5828,"Conjunto Nogueira, Farias de Marques - SE",SIM,NAO,05.291.387/0001-04
1026,193.33,Antonella Vasconcelos,1945-07-04,80.0,DIVORCIADO,Timoneiro,2975.04,,,,,,,97,jesusthiago@example.net,+55 (041) 6485 5233,"Lago Matheus Araújo, Macedo - RN",SIM,NAO,901.375.248-97
1027,1838.56,,,,,,,Garcia Peixoto - ME,1161363.31,50.9522,330.0,SERVICOS,"Zoe Cardoso, Ester Gomes",37,maria-vitoriaalmeida@example.net,11 3329 7878,"Campo de Albuquerque, 70, da Paz do Sul - MS",NAO,SIM,24.351.098/0001-90
1028,101.23,Dr. André Araújo,1965-04-09,60.0,DIVORCIADO,Numerólogo,2207.44,,,,,,,212,teixeiraantonella@example.org,(051) 2275 1505,"Chácara Lavínia Almeida, 68, Alves - AM",SIM,SIM,097.316.248-13
1029,19.18,Vinicius Barros,1985-04-15,40.0,CASADO,Gravurista,1606.86,,,,,,,1510,mjesus@example.net,+55 (081) 7512 1236,"Lagoa Emilly Câmara, 80, Dias dos Dourados - TO",NAO,NAO,820.564.731-35
1030,521.96,,,,,,,Macedo,3086488.69,136.85332,25.0,INDUSTRIA,"Beatriz Novaes, Dr. Gustavo Henrique Aragão",1091,gabrielly50@example.net,+55 51 7495 4108,"Parque de Freitas, 58, Correia da Mata - GO",NAO,SIM,95.417.023/0001-02
1031,699.06,Luigi Pires,1994-12-26,30.0,VIUVO,Atleta de arremesso de peso,768.59,,,,,,,292,pedro59@example.net,41 1278-9907,"Quadra Vinícius Cunha, 24, da Luz - AC",SIM,SIM,083.652.791-77
1032,457.99,Sra. Laura Pastor,1999-08-22,26.0,CASADO,Atleta de nado sincronizado,1415.98,,,,,,,800,leandro02@example.com,(031) 9294-4746,"Avenida Benício Garcia, Melo do Campo - SC",NAO,NAO,350.918.624-98
1033,382.59,,,,,,,da Rosa,1981863.37,27.67973,494.0,VAREJO,Dra. Maria Júlia Barros,654,ana-laura23@example.net,0500 029 8630,"Chácara Luiz Fernando Vasconcelos, 57, das Neves - ES",NAO,NAO,79.512.684/0001-60
1034,28.41,Erick Sales,1973-05-01,52.0,CASADO,Produtor editorial,4837.25,,,,,,,564,gabrielly80@example.org,+55 (031) 7487-1309,"Distrito Andrade, 85, Almeida - TO",SIM,NAO,925.864.130-24
1035,806.35,Aurora Câmara,1987-05-02,38.0,SOLTEIRO,Clap loader,4493.38,,,,,,,680,danielmoreira@example.net,(011) 7501 7946,"Condomínio Machado, 65, Rocha dos Dourados - RO",SIM,SIM,857.031.496-57
1036,3668.9,,,,,,,Silveira,4766783.6,202.88025,190.0,AGRONEGOCIO,Maysa da Mata,234,vicentepereira@example.net,+55 (081) 5094-4846,"Jardim Kamilly Porto, 41, Cavalcanti do Sul - SC",NAO,SIM,56.190.284/0001-80
1037,2.1,Dom Moraes,1985-01-30,40.0,DIVORCIADO,Lanterneiro,2424.81,,,,,,,670,miguelgoncalves@example.org,0900 523 5098,"Viela de da Luz, 9, Cavalcante - SE",SIM,NAO,174.923.560-99
1038,285.27,Luiz Gustavo Andrade,1956-01-11,69.0,VIUVO,Treinador,2033.5,,,,,,,1336,fazevedo@example.net,+55 81 1993-2759,"Residencial Duarte, 2, Macedo das Flores - AP",SIM,SIM,734.509.861-39
1039,53.66,,,,,,,Aragão,3219623.98,1000.56228,130.0,TECNOLOGIA,"Dr. Josué Fernandes, Antony Vasconcelos, Sofia Aparecida",1017,kpereira@example.org,+55 71 5734 6852,"Núcleo Lívia Oliveira, 73, Vieira do Sul - GO",NAO,NAO,02.893.645/0001-26
1040,423.61,,,,,,,Monteiro,1696632.54,38.392480000000006,216.0,INDUSTRIA,"Daniela Sousa, André Freitas, Ana Sophia Rocha, Sarah Novaes",953,scarvalho@example.org,(011) 3643 8389,"Travessa Davi Luiz Oliveira, 4, Aragão - SP",SIM,NAO,93.608.172/0001-23
1041,348.36,,,,,,,Araújo - EI,2616224.97,651.50599,50.0,TECNOLOGIA,Otto Aragão,414,anthony-gabriel24@example.org,0300-460-7241,"Distrito de Caldeira, 76, Pastor do Oeste - RO",NAO,NAO,30.487.261/0001-49
1042,363.15,Ana Beatriz da Cunha,1966-11-22,58.0,DIVORCIADO,Radialista,3313.27,,,,,,,1155,kamillylima@example.com,41 2757-8712,"Estação Miguel Gonçalves, 619, Camargo das Flores - MA",NAO,SIM,603.951.278-40
1043,382.5,Rael Cavalcanti,1984-08-01,41.0,SOLTEIRO,Lancheiro,7023.65,,,,,,,597,eduardacasa-grande@example.net,11 6727 4728,"Passarela Hadassa Fogaça, 23, Azevedo do Galho - AP",SIM,NAO,932.547.681-91
